idx	title	folder_path	report_path
033	Section 1 · 1947-07	reports/033-65_hs1-834228961_62-hq-83894_section_1	reports/033-65_hs1-834228961_62-hq-83894_section_1/report.md
034	Section 8 · 1954-06 to 08	reports/034-65_hs1-834228961_62-hq-83894_section_8	reports/034-65_hs1-834228961_62-hq-83894_section_8/report.md
035	D10 · 2022-05 · Iraq	reports/035-dow_uap_d10_mission_report_iraq_may_2022	reports/035-dow_uap_d10_mission_report_iraq_may_2022/report.md
036	D12 · 2022-05-20 · Iraq	reports/036-dow_uap_d12_mission_report_iraq_may_2022	reports/036-dow_uap_d12_mission_report_iraq_may_2022/report.md
037	D14 · 2022-05-29 · E Mediterranean	reports/037-dow_uap_d14_mission_report_eastern_mediterranean_may_2022	reports/037-dow_uap_d14_mission_report_eastern_mediterranean_may_2022/report.md
038	D16 · 2022-07-31 · Syria	reports/038-dow_uap_d16_mission_report_syria_july_2022	reports/038-dow_uap_d16_mission_report_syria_july_2022/report.md
039	D18 · 2022-12-01 · Iraq	reports/039-dow_uap_d18_mission_report_iraq_december_2022	reports/039-dow_uap_d18_mission_report_iraq_december_2022/report.md
040	D19 · 2023-02-21 · Syria	reports/040-dow_uap_d19_mission_report_syria_february_2023	reports/040-dow_uap_d19_mission_report_syria_february_2023/report.md
041	D20 · 2023-03-31 · Syria ESSA	reports/041-dow_uap_d20_mission_report_syria_essa_march_2023	reports/041-dow_uap_d20_mission_report_syria_essa_march_2023/report.md
042	D23 · 2023-10-24 · Arabian Gulf	reports/042_043-dow_uap_d23_mission_report_uae_october_2023	reports/042_043-dow_uap_d23_mission_report_uae_october_2023/report.md
043	D23 · 2023-10-24 · Arabian Gulf	reports/042_043-dow_uap_d23_mission_report_uae_october_2023	reports/042_043-dow_uap_d23_mission_report_uae_october_2023/report.md
044	D25 · 2024-01-25 · Mediterranean	reports/044-dow_uap_d25_mission_report_greece_january_2024	reports/044-dow_uap_d25_mission_report_greece_january_2024/report.md
045	D27 · 2024-06-07 · Gulf of Oman	reports/045-dow_uap_d27_mission_report_gulf_of_oman_june_2024	reports/045-dow_uap_d27_mission_report_gulf_of_oman_june_2024/report.md
046	D28 · 2024-09-20 · Iraq Ayn al Asad	reports/046-dow_uap_d28_mission_report_ayn_al_asad_iraq_september_2024	reports/046-dow_uap_d28_mission_report_ayn_al_asad_iraq_september_2024/report.md
047	D3 · 2020 · Arabian Gulf	reports/047-dow_uap_d3_mission_report_arabian_gulf_2020	reports/047-dow_uap_d3_mission_report_arabian_gulf_2020/report.md
048	D32 · 2024-10-20 · Syria	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024/report.md
049	D32 · 2024-10-20 · Syria	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024/report.md
050	D32 · 2024-10-20 · Syria	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024	reports/048_049_050-dow_uap_d32_mission_report_syria_october_2024/report.md
051	D33 · 2023-10-27 · Aegean Sea	reports/051-dow_uap_d33_mission_report_greece_october_2023	reports/051-dow_uap_d33_mission_report_greece_october_2023/report.md
052	D35 · 2023-10-29 · Aegean Sea	reports/052-dow_uap_d35_mission_report_greece_october_2023	reports/052-dow_uap_d35_mission_report_greece_october_2023/report.md
053	D38 · 2020-05-14 · Arabian Gulf	reports/053-dow_uap_d38_range_fouler_debrief_middle_east_may_2020	reports/053-dow_uap_d38_range_fouler_debrief_middle_east_may_2020/report.md
054	D4 · 2020 · Arabian Gulf	reports/054-dow_uap_d4_mission_report_arabian_gulf_2020	reports/054-dow_uap_d4_mission_report_arabian_gulf_2020/report.md
055	D42 · 2020-08-31 · Persian Gulf（標題誤 Japan）	reports/055-dow_uap_d42_range_fouler_debrief_japan_2023	reports/055-dow_uap_d42_range_fouler_debrief_japan_2023/report.md
056	D44 · 2020-10-15 · Gulf of Aden	reports/056-dow_uap_d44_range_fouler_gulf_of_aden_october_2020	reports/056-dow_uap_d44_range_fouler_gulf_of_aden_october_2020/report.md
057	D48 · 1996-09-10	reports/057-dow_uap_d48_air_force_space_booster_risk_report_1996	reports/057-dow_uap_d48_air_force_space_booster_risk_report_1996/report.md
058	D49 · 2000-02-03	reports/058-dow_uap_d49_vandenberg_launch_summary_1958_2000	reports/058-dow_uap_d49_vandenberg_launch_summary_1958_2000/report.md
059	D5 · 2020 · Mediterranean（標題誤 Arabian Gulf）	reports/059-dow_uap_d5_mission_report_arabian_gulf_2020	reports/059-dow_uap_d5_mission_report_arabian_gulf_2020/report.md
060	D50 · 2025-04-10/11 · INDOPACOM	reports/060-dow_uap_d50_email_correspondence_indopacom_april_2025	reports/060-dow_uap_d50_email_correspondence_indopacom_april_2025/report.md
061	D51 · 2023-03 · Pacific Time Zone	reports/061-dow_uap_d51_email_correspondence_pacific_time_zone_march_2023	reports/061-dow_uap_d51_email_correspondence_pacific_time_zone_march_2023/report.md
062	D52 · 2024-10-31 · NA	reports/062-dow_uap_d52_email_correspondence_na_august_2024	reports/062-dow_uap_d52_email_correspondence_na_august_2024/report.md
063	D54 · NA · E Aegean Sea	reports/063-dow_uap_d54_mission_report_mediterranean_sea_na	reports/063-dow_uap_d54_mission_report_mediterranean_sea_na/report.md
064	D55 · 2016-11-18 · Syria	reports/064-dow_uap_d55_mission_report_syria_2016	reports/064-dow_uap_d55_mission_report_syria_2016/report.md
065	D56 · 2020-08-24 · Arabian Sea	reports/065-dow_uap_d56_range_fouler_arabian_sea_aug_2020	reports/065-dow_uap_d56_range_fouler_arabian_sea_aug_2020/report.md
066	D57 · 2020-09-04 · Gulf of Aden	reports/066-dow_uap_d57_range_fouler_gulf_of_aden_sep_2020	reports/066-dow_uap_d57_range_fouler_gulf_of_aden_sep_2020/report.md
067	D58 · 2020-10-27 · NA	reports/067-dow_uap_d58_range_fouler_na_oct_2020	reports/067-dow_uap_d58_range_fouler_na_oct_2020/report.md
068	D6 · 2020 · Arabian Gulf	reports/068-dow_uap_d6_mission_report_arabian_gulf_2020	reports/068-dow_uap_d6_mission_report_arabian_gulf_2020/report.md
069	D60 · 2020-08-08 · Arabian Gulf	reports/069-dow_uap_d60_mission_report_persian_gulf_aug_2020	reports/069-dow_uap_d60_mission_report_persian_gulf_aug_2020/report.md
070	D61 · 2020-08-27 · Arabian Gulf	reports/070-dow_uap_d61_mission_report_persian_gulf_aug_2020	reports/070-dow_uap_d61_mission_report_persian_gulf_aug_2020/report.md
071	D62 · 2020-09-16 · Strait of Hormuz	reports/071-dow_uap_d62_mission_report_strait_of_hormuz_sep_2020	reports/071-dow_uap_d62_mission_report_strait_of_hormuz_sep_2020/report.md
