idx	title	type	link	agency	date
60	DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf	Department of War	4/10/2025-4/11/2025
61	DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf	Department of War	3/23/26
62	DOW-UAP-D52, Email Correspondance, NA, August 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf	Department of War	10/31/24
63	DOW-UAP-D54, Mission Report, Mediterranean Sea, NA	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf	Department of War	N/A
64	DOW-UAP-D55, Mission Report, Syria, November 2016	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf	Department of War	11/18/16
65	DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf	Department of War	8/24/20
66	DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf	Department of War	9/4/20
67	DOW-UAP-D58, Range Fouler Debrief, NA, October 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf	Department of War	10/27/20
68	DOW-UAP-D6, Mission Report, Arabian Gulf, 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf	Department of War	N/A
69	DOW-UAP-D60, Mission Report, Arabian Gulf, August 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf	Department of War	8/8/20
70	DOW-UAP-D61, Mission Report, Arabian Gulf, August 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d61-mission-report-persian-gulf-august-2020.pdf	Department of War	8/27/20
71	DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf	Department of War	9/16/20
72	DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf	Department of War	10/1/20
73	DOW-UAP-D64, Mission Report, Iran, November 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d64-mission-report-iran-november-2020.pdf	Department of War	11/2/20
74	DOW-UAP-D65, Mission Report, Arabian Gulf, July 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d65-mission-report-persian-gulf-july-2020.pdf	Department of War	7/16/20
75	DOW-UAP-D7, Mission Report, Arabian Gulf, 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf	Department of War	N/A
76	DOW-UAP-D74, Mission Report, Syria, November 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d74-mission-report-syria-november-2023.pdf	Department of War	11/9/23
77	DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf	Department of War	7/14/24
